Run number;Max width;Min width;Number of orders;Average reel width;Deviation of widths;Number of ordered reels;Weighted average width;Total waste percentage
00702;4900;800;57;3242.10526315789;1258.10903576147;442.91054738771;2709.0662920995;2.3033937577
00704;4900;500;51;2752.94117647059;1458.67788646794;432.623483183334;2574.58811425132;0.0865800866
00706;4900;700;60;3210;1378.24501524;380.490872477422;3314.41817632014;13.8411693791
00713;4100;1200;21;2914.28571428571;983.506845062969;218.253272162101;2974.28124647238;3.2448516909
00715;4400;1300;33;2681.81818181818;990.092970841168;224.999823427226;2674.56345969026;2.1606816799
00708;4700;700;48;2325;1386.79179740929;428.743495069899;2068.44335413765;0.3115264798
00720;4400;900;57;2568.42105263158;1216.42889151824;416.393283371116;2815.77364583757;2.6383093283
00728;4500;600;36;2700;949.586376120827;309.594140162232;2504.36915449665;1.6833426375
00729;4900;1000;51;2729.41176470588;1090.37500295028;402.733725753351;2953.1282099459;2.9560810811
00732;4800;700;33;1990.90909090909;1480.15278695386;284.155825484237;2065.1162752152;0.2089268756
00734;5000;600;69;2626.08695652174;1456.7946455785;579.739977047199;2446.04276758275;0.0911680912
00736;5000;800;42;2792.85714285714;1243.98903162423;345.252774150702;2628.03454086202;0.1709401709
00742;5000;1700;33;3472.72727272727;1014.6651933251;262.090087276702;3664.69762161422;8.121462301
00744;4600;700;48;2831.25;1285.62531353755;254.273358869719;2610.74187682007;1.6818751118
00746;4300;700;39;2353.84615384615;1110.91383763813;320.173011805637;2291.00118416681;0
00753;4800;1300;39;2676.92307692308;1140.74341837185;265.090059228698;2753.64891160593;1.397515528
00755;4700;1800;18;3750;1013.00368735175;124.279788553192;3599.78742300513;16.1353110947
00761;4900;700;39;3692.30769230769;1289.10099546863;328.91640330715;3933.29768894829;23.4197547622
00767;5000;500;36;2850;1524.37340757253;187.547668155373;2338.83677590361;1.3157894737
00773;4800;1100;30;3180;1285.56977841439;217.966681402113;2828.76606748127;3.3564814815
00775;4700;1400;21;3142.85714285714;1067.50710937746;137.640046464554;3349.71590071848;12.3390894819
00780;5000;1100;42;3207.14285714286;1128.00122321826;302.120706987606;3434.75822518822;6.3268442623
00788;4900;500;63;2461.90476190476;1347.9289456037;439.110007983813;2676.31983889679;0
00789;4900;600;33;2154.54545454545;1384.53306864871;321.015190154216;2355.43959903529;2.3157043179
00791;4500;700;51;2170.58823529412;1099.68979583282;406.243084833522;2142.99929984619;0.9433962264
00797;5000;500;54;2516.66666666667;1565.63929916643;401.520712029728;2155.0242436433;0.7569875776
00801;4900;600;99;2715.15151515152;1144.13889162965;875.669893576062;2672.07288029608;0.0561876668
00805;4500;1400;111;2762.16216216216;624.21646217173;886.22652444522;2838.14259442858;4.8771543821
00806;4800;2000;99;2966.66666666667;655.899444757085;684.493938903603;2882.93559126601;1.6538731982
00812;5000;700;117;2748.71794871795;979.762056319111;858.843022643881;2874.98577903035;0.6752789196
00814;4100;500;111;2472.97297297297;971.030001029455;961.024637246749;2558.85067125701;0.9352157548
00821;4500;1500;90;2993.33333333333;718.58162414704;692.154248947513;3086.64656183528;2.2448169262
00825;5000;700;111;3002.7027027027;1024.55839351396;844.16580915186;3008.13086919527;1.7667528081
00826;4900;600;126;2714.28571428571;1072.54570332191;991.480451005886;2812.86571628408;0.5783718708
00833;4700;700;159;2754.71698113208;882.65265565374;1100.58255238786;2733.15281079974;0.085338795
00840;4800;1500;120;2662.5;566.140182183135;873.906384789427;2617.06376033802;5.3861499003
00847;4400;500;138;2697.82608695652;879.321851450646;1168.10739963974;2688.95282735442;0.0120506126
00852;5000;700;126;3528.57142857143;1107.49137371681;985.282319258243;3615.49640398956;8.4644974591
00854;5000;800;138;3680.4347826087;1073.35742413663;1119.20044822373;3713.20497998981;7.8495420259
00858;5000;700;171;2980.70175438596;994.533043811114;1424.65607392607;2983.29761455591;0.1327433628
00859;5000;600;165;3052.72727272727;1098.58909717628;1161.51917490982;3044.22521173827;1.0733835101
00862;5000;500;174;3436.20689655172;1014.18236822651;1358.51129114093;3405.47862056772;6.9374287111
